youtube_channel_id,name_short,name_english,name_japanese,twitter_id,profile_id,birthday,height,unit
UCAoy6rzhSf4ydcYjJw3WoVg,Iofifteen,Airani Iofifteen,アイラニ イオフィフティーン,airaniiofifteen,airani-iofifteen,2000-07-15,150 ㎝,hololive Indonesia
UC1CfXB_kRs3C-zaeTG3oGyg,Haato,Akai Haato,赤井はあと,akaihaato,akai-haato,2000-08-10,154 cm,hololive 1st Generation
UCFTLzh12_nrtzqBPsTCqenA,Rosenthal,Aki Rosenthal,アキ ローゼンタール,akirosenthal,aki-rosenthal,2000-02-17,162 cm,hololive 1st Generation
UCZlDXzGoo7d44bwdNObFacg,Kanata,Amane Kanata,天音かなた,amanekanatach,amane-kanata,2000-04-22,149 cm,hololive 4th Generation
UC727SQYUvx5pDDGQpTICNWg,Melfissa,Anya Melfissa,アーニャ メルフィッサ,anyamelfissa,anya-melfissa,2000-03-12,147 cm,hololive Indonesia
UCOyYb1c43VlX9rc_lT6NKQw,Risu,Ayunda Risu,アユンダ リス,ayunda_risu,ayunda-risu,2000-01-15,153㎝,hololive Indonesia
UC0TXe_LYZ4scaW2XMyi5_kw,AZKi,AZKi,AZKi,AZKi_VDiVA,azki,2000-07-01,158 cm,hololive Generation 0 SorAZ Shotgun Rose
UCvN5h1ShZtc7nly3pezRayg,Immergreen,Cecilia Immergreen,セシリア イマーグリーン,ceciliaimgreen,cecilia-immergreen,2000-11-11,162 cm,hololive English -Justice-
UCO_aKKYxn4tvrqPjcTzZ6EQ,Fauna,Ceres Fauna,セレス ファウナ,ceresfauna,ceres-fauna,2000-03-21,164 cm,hololive English -Promise-
UCW5uhrG1eCBYditmhL0Ykjw,Bloodflame,Elizabeth Rose Bloodflame,エリザベス ローズ ブラッドフレイム,ERBloodflame,elizabeth-rose-bloodflame,2000-04-25,171 cm,hololive English -Justice-
UCoSrY_IQQVpmIRZ9Xf-y93g,Gura,Gawr Gura,がうる ぐら,gawrgura,gawr-gura,2000-06-20,141 cm,hololive English -Myth-
UCDHABijvPBnJm7F-KlNME3w,Murin,Gigi Murin,ジジ ムリン,gigimurin,gigi-murin,2000-10-18,153 cm,hololive English -Justice-
UCgmPnx-EEeOrZSg5Tiw7ZRQ,Baelz,Hakos Baelz,ハコス ベールズ,hakosbaelz,hakos-baelz,2000-02-29,149 cm,hololive English -Promise-
UC6eWCld0KwmyHFbAqK3V-Rw,Koyori,Hakui Koyori,博衣こより,hakuikoyori,hakui-koyori,2000-03-15,153 ㎝,holoX
